Concept,Category,Linguistic Marker,Description,Key Rule,Context/Note
Agglutination (Pronoun Suffixes),Grammar,"-mi, -ni, -di",Subjects and possessives are attached directly to the verb or noun.,No standalone English pronouns.,"Includes -mi (1st person), -ni (2nd person), and -di (3rd person)."
States of Being are Locations,Grammar,-la,Emotions and physical needs are locations resting on you.,Attach the -la suffix to a pronoun to indicate this state.,"Emotions/needs are not things you are, but places you occupy."
Radiating State / Sensory Output,Grammar,-et,Turns a base concept or action verb into a physical output radiating from a body.,"Use for things a body involuntarily produces (heat, chill, scent, visual presence, flavor, sound).","Solves Noun vs. Verb ambiguity (e.g., osh = to smell; oshet = the scent produced)."
Plural / Intensity by Doubling First Syllable,Grammar,first syllable repeated,"Doubling the first syllable indicates multiple instances, high intensity, or relentless action.","If the syllable has double of the same consonants, only use the first one.","E.g., vek -> vevek (deep/multiple cuts); ikku -> ikikku (relentless climaxing)."
Commands & imperatives,Grammar,drop verb pronoun,The naked verb becomes the command,,
Anatomical Verb Focus,Syntax,"-bac, -glim, -grappi, -gull, etc","Verb prefixes/suffixes always prioritize the anatomy being stimulated, regardless of who is doing it.","If a player sucks a monster's cock, the monster still calls it deh-glim (cock-suck) because their deh is the focus.",Keeps the linguistic focus aggressively centered on the monster's physical experience and dominance.
Zero Copula,Syntax,None,"Do not use a connective word for ""is"" or ""are"".","Slam nouns, states, and modifiers directly into each other.","Creates a blunt, undeniable biological fact."
Drop Articles,Syntax,None,"Do not use ""a"", ""an"", or ""the"".",Omit articles unless absolutely necessary for clarity.,Focuses on the core essence of the nouns.
No Performative Padding,Style,None,"Do not say ""please,"" ""maybe,"" or ""I think"".",State data as absolute physical laws.,Removes social softeners to state facts as absolute.
Interrogative,Syntax,he?,"Added to the end of a sentence to turn a statement of physical fact into a question, or a direct, guttural challenge.",Place at the end of the sentence after the statement.,"E.g., Jiten-mi, he? (You steal from me, eh?)"
Delayed Negator,Syntax,", inji",A hard boolean false. Used after a comma to brutally revoke or negate the preceding statement.,Place after a comma following the statement to negate.,"E.g., Mekkan-ni fim, inji. (Your body is wet, false. / You are not wet.)"
Intent Prefix,Morphology,ji-,"Attached directly to a verb to change a neutral, biological action into an act of malice, harm, or parasitic intent.",Prefix attaches directly to the verb root.,"E.g., ten -> jiten (steal); vek -> jivek (torture); mjis -> jimjis (force-breed / parasitic insemination)."
Physical Manifestation Suffix,Morphology,-an,"Turns a raw concept or action into a tangible, defined, harvestable object.",Suffix attaches directly to the root word.,"E.g., mekk -> mekkan (the physical body); mjis -> mjisan (the physical seed / harvestable milt)."
Systemic State Suffix,Morphology,-ep,"Turns a root concept into an overwhelming systemic state of being, roughly '-without any hope of return'.",Suffix attaches directly to the root word. Often used for mind-shatter or pleasure-coma mechanics.,"E.g., bolk -> bolkep (madness); ash -> ashep (euphoric bliss); fim -> fimep (in estrus)."
The Verb-er Indicator,Morphology,-gut,"The entity who does / the vessel of the action. ",Suffix attaches directly to the root verb to create an entity/vessel.,"Attach to a verb to indicate that the entity/vessel is ""the one who [verbs]"". Jitengut (thief / the one who maliciously takes), or deh-glimgut (cocksucker)."
