Term,Category,Direct Translation,Context/Notes
deh,"Noun, Anatomy",Penetrating genital,"Used for any anatomy that penetrates (specifically reproductive), regardless of species shape"
nah,"Noun, Anatomy",Receiving genital,"Used for any anatomy that receives (specifically reproductive), regardless of species shape"
endah,"Noun, Anatomy",Secondary receiving hole / anus / waste-path,Context distinguishes which orifice is meant; also used specifically for the anus/digestive/waste tract
mjis,Verb,"To breed, to sow, to plant, to fill with seed",The act of breeding or inseminating. Replaces previously used 'mjisiv'.
mjisan,Noun,Physical seed / harvestable milt / ejaculate,"The tangible, harvestable product. E.g., mjisan-ni (your seed)."
fim,"Noun, Anatomy",Slickness / wetness / arousal fluid,Specifically biological wetness; the dripping from a vaginal slit is fim
mekk,"Noun, Anatomy",Raw flesh / meat / exposed tissue,Can be used to describe exposed anatomy or as a blunt descriptor for a physical body
mekkan,"Noun, Anatomy",Body / exposed tissue,"A physical body, and can be used to describe exposed anatomy"
vek,"Noun, Verb",Edge / teeth / (to) bite / (to) cut,"Used for anything that catches, scrapes, cuts, or anchors"
osh,Verb,To smell / inhale,"The physical act of taking in a scent. E.g., osh-mi (I smell). Never used for the scent itself."
oshet,Noun / Output,Scent / Odor / Pheromones,"Derived from osh + -et. The physical scent radiating from a body. E.g., oshet-ni (your scent)."
sina,Verb,To see / watch / look,"The physical act of looking. E.g., sina-mi (I see). Never used for appearance."
sinet,Noun / Output,(the) Appearance / Visual presence,"Derived from sina + -et. How a body looks to an observer. E.g., sinet-ni (your appearance). Can be combined with modifiers like 'moi' for intense sights."
sema,Verb,To taste,"The physical act of tasting. E.g., Sema-mi (I'm tasting [something]), sema-ni (you taste [like]). Never used for the flavor itself."
semet,Noun / Output,(the) Taste / flavor,"Derived from sema + -et. The physical flavor of something. E.g., semet-ni (your flavor)."
luda,Verb,To hear / listen,"The physical act of hearing. E.g., luda-mi (I hear). Never used for the sound itself."
ludet,Noun / Output,(the) Sound / Voice / Noise,"Derived from luda + -et. The physical sound radiating from something. E.g., semet-ni (your sound/noise)."
hav,Noun / State,Base heat / internal temperature,"The fundamental concept of heat. Used for warm springs or deep, internal core temperature."
havet,Noun / Output,(the) Radiating warmth / body heat,"Derived from hav + -et. Specifically the heat radiating off a body, distinctively warmer than one’s own skin."
keiv,Noun / State,Base cold / internal chill,"The fundamental concept of cold. Used for deep water, stone, or internal lack of heat."
keivet,Noun / Output,(the) Radiating coolness / a chill,"Derived from keiv + -et. Radiating coldness, often used for aquatic/reptilian/amphibian body temperatures."
ashet,"Adjective, Physical State","Perfect, just right, right in-between two extremes",A state of equilibrium in sensation / temperature / position / state; highly satisfying
hoom,"Adjective, Physical State","Heavy, crushing weight","Used for gravity, physical pinning, or the oppressive weight of a deep instinct/need"
riri,"Adjective, Physical State","Fast, twitching, frantic","Used to describe feral prey, or frantic, uncontrollable pre- / post-climax spasms"
skav,"Adjective, State",Bad,Subjective biological negative; broad term for anything unpleasant or wrong
skava,"Adjective, Physical State","Barren, chafing, uncomfortable, depleted","More specific form of skav. Describes a biologically negative or unfulfilling physical state (e.g., an empty sac after relentless milking, friction without fim), as well as a desert."
moi,"Adjective, Modifier","Heavy, much, big","Used to describe high volume, intensity, or presence"
sui,"Adjective, Modifier","Light, little, small","Used to describe scarcity, weakness, or small amounts"
su-,"Adjective, Modifier (Prefix)",Too / Overly,"Attached directly to modifiers to indicate excess. E.g., su-moi (too much), su-sui (too little)"
kaavi,Need/Pressure,Gnawing ache / violent pressure / absolute biological need,"The overwhelming urge to breed, feed, or release fluid; a being in the grip of kaavi cannot easily ignore it"
vaaki,Need/Pressure,Mechanical requirement / strict physical condition,Used for practical limitations
halla,Need/Pressure,want / curiosity / surface appetite / lean / preference,Context dictates the exact meaning; chosen out of curiosity or amusement
ten,Verb,"To take, to move to oneself, to borrow",Neutral verb for taking or acquiring
ash,"Adjective, State",Good,"Subjective biological positive; satiated, just right, pleasurable"
ashep,"Adjective, Systemic State",Euphoric bliss,"Derived from ash + -ep. An overwhelming systemic state of goodness/pleasure beyond return (mind-break, pleasure-coma)."
bolkep,"Noun, Systemic State",Madness / complete disarray / blind panic,"Derived from bolk + -ep. Broken structurally (like shattered armor) or psychologically (state of madness, disarray, mind-break)"
fimep,"Adjective, Systemic State",In estrus / over-lubricated,Derived from fim + -ep. An overwhelming systemic state of wetness/arousal beyond return
ikku,Verb,To erupt / cum / snap tension / explode / release,"A sharp, sudden release of physical pressure, climax, or fluid."
-bac,Verb (Suffix),Penetrative thrusting,nah-bac (to receive pussy-fuck); deh-bac (to do cock-fuck); endah-bac (to receive ass-fuck)
nah-bac,Verb,Penetrative act (nah being stimulated),Used when the receiving genital (nah) is being stimulated or is the focus of the action
deh-bac,Verb,Penetrative act (deh doing the stimulating),Used when the active partner's penetrating anatomy (deh) is the focus of the action
endah-bac,Verb,Penetrative act (endah being stimulated),Used when the secondary receiving hole (such as the anus) is being stimulated or is the focus of the action
-glim,Verb (Suffix),Oral stimulation / licking,deh-glim (cock-suck); nah-glim (pussy-lick/clit-suck); endah-glim (to rim/tongue-fuck)
deh-glim,Verb,Oral stimulation of a deh,cock-suck / cock-lick
nah-glim,Verb,Oral stimulation of a nah,pussy-lick / cloaca-lick / clit-suck
endah-glim,Verb,Oral stimulation of a endah,ass-lick / hole-lick / rimming
-grappi,"Verb, Verb (Suffix)","Hand / claw, gripping / milking",deh-grappi (handjob / milking); nah-grappi (fingering)
-gull,"Verb, Verb (Suffix)","Throat, swallowing / taking deep",mjis-gull (swallowing seed); deh-gull (deepthroating)
-liime,"Verb, Verb (Suffix)",To yield / soften / part open,endah-liime (coaxing the anus to open); nah-liime (gently stretching pussy)
-grem,"Verb, Verb (Suffix)",Crushing grip / clenching / trapping,nah-grem (vaginal sphincter clamping down hard on a penetrating deh)
bolk,"Noun, Expletive","Fool, idiot, someone who doesn't know what they're doing",Used by both Pichidi and Bitalgut — confirmed same language
ucruss,Expletive,"Expleteive - roughly ""gods"" / ""my goodness""","Exclamation of mild surprise, exasperation, or dark amusement"
grat,Expletive,"Expletive — roughly ""shit""",Standalone or mid-sentence
shigrat,Expletive,Stronger variant of grat,Used for more intense frustration or emphasis
-mi,Grammar Suffix,1st person (I / me / my),Agglutination pronoun suffix attached directly to verbs or nouns
-ni,Grammar Suffix,2nd person (you / your),Agglutination pronoun suffix attached directly to verbs or nouns
-di,Grammar Suffix,3rd person (he / she / it / they / its),Agglutination pronoun suffix attached directly to verbs or nouns
-la,Grammar Suffix,Location / State of being marker,"Emotions and physical needs are locations resting 'on' you; attach to a pronoun to indicate state (e.g., Mi-la)"
-et,Grammar Suffix,Radiating state / Sensory output,"Attached to a base concept or action verb to indicate a physical output radiating from a body (e.g., scent, heat (hav to havet), visual presence)."
ji-,Grammar Prefix,Intent of malice / harm / parasitic action,"Attached to a verb to change a neutral action into an act of malice. E.g., ten (take) -> jiten (steal); vek (bite) -> jivek (torture); mjis (sow) -> jimjis (force-breed)."
-gut,Grammar Suffix,The entity who does / the vessel of the action,"Attach to a verb to indicate that the entity/vessel is ""the one who [verbs]"". Jitengut (thief / the one who maliciously takes)."
-an,Grammar Suffix,Physical manifestation / tangible object,"Turns a raw concept or action into a tangible, defined, harvestable object. E.g., mekk -> mekkan (body); mjis -> mjisan (harvestable seed)."
-ep,Grammar Suffix,"Systemic state / overwhelming, irreversible condition","Turns a root concept into an overwhelming systemic state of being. Roughly translated as '-without any hope of return'. E.g., bolk -> bolkep (madness); ash -> ashep (euphoric bliss); fim -> fimep (in estrus)."
he?,Grammar Particle,Interrogative / challenge marker,"Added to end of sentence to turn a statement into a question or guttural challenge. E.g., Jiten-mi, he? (You steal from me, eh?)"
inji,Grammar Particle,Delayed negator / hard boolean false,"Used after a comma to brutally negate the preceding statement. E.g., Mekkan-ni fim, inji. (Your body is wet, false. / You are not wet.)"
